Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/30/2026 09:00 AM ET,"11046 LAKELAND CIR FORT MYERS, FL- 33913","$266,403.05","$313,223.00","$227,800.00",25-CA-001543,05-45-26-02-0000A.0240,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-001543&bypassPage=1,https://pcpao.gov/Parcel-Details/05-45-26-02-0000A.0240
07/30/2026 09:00 AM ET,"2153 CAPE HEATHER CIR CAPE CORAL, FL- 33991","$411,662.17","$255,252.00",Hidden,25-CA-001914,28-44-23-C1-00215.0570,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-001914&bypassPage=1,https://pcpao.gov/Parcel-Details/28-44-23-C1-00215.0570
07/30/2026 09:00 AM ET,"3213 VERA CT LEHIGH ACRES, FL- 33976","$232,798.37","$21,803.00",Hidden,25-CA-002317,11-45-26-L1-01005.0020,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002317&bypassPage=1,https://pcpao.gov/Parcel-Details/11-45-26-L1-01005.0020
07/30/2026 09:00 AM ET,"476 NE 3RD AVE CAPE CORAL, FL- 33909","$420,093.09","$287,557.00",Hidden,25-CA-002800,12-44-23-C1-02365.0310,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-002800&bypassPage=1,https://pcpao.gov/Parcel-Details/12-44-23-C1-02365.0310
07/30/2026 09:00 AM ET,"17436 INGRAM RD FORT MYERS, FL- 33967","$231,774.12","$180,793.00","$234,612.52",25-CA-003158,09-46-25-02-00169.0400,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-003158&bypassPage=1,https://pcpao.gov/Parcel-Details/09-46-25-02-00169.0400
07/30/2026 09:00 AM ET,"3815/3817 SKYLINE BLVD CAPE CORAL, FL- 33914","$584,290.15","$307,994.00",Hidden,25-CA-004333,02-45-23-C4-01753.0050,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004333&bypassPage=1,https://pcpao.gov/Parcel-Details/02-45-23-C4-01753.0050
07/30/2026 09:00 AM ET,"2306 EPHRAIM AVE FORT MYERS, FL- 33907","$345,071.16","$259,775.00","$178,200.00",25-CA-004352,13-45-24-08-00048.0020,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004352&bypassPage=1,https://pcpao.gov/Parcel-Details/13-45-24-08-00048.0020
07/30/2026 09:00 AM ET,"930 SW 28TH ST CAPE CORAL, FL- 33914","$382,601.42","$310,794.00","$227,200.00",25-CA-004758,34-44-23-C2-03219.0460,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004758&bypassPage=1,https://pcpao.gov/Parcel-Details/34-44-23-C2-03219.0460
07/30/2026 09:00 AM ET,"1930 NE 28TH ST CAPE CORAL, FL- 33909","$386,520.02","$274,726.00",Hidden,25-CA-004816,29-43-24-C4-02264.0150,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004816&bypassPage=1,https://pcpao.gov/Parcel-Details/29-43-24-C4-02264.0150
07/30/2026 09:00 AM ET,"2113 LOCHMOOR CIR NORTH FORT MYERS, FL- 33903","$261,884.89","$326,621.00","$248,000.00",25-CA-004844,16-44-24-29-00000.1100,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25-CA-004844&bypassPage=1,https://pcpao.gov/Parcel-Details/16-44-24-29-00000.1100
08/06/2026 09:00 AM ET,"5761 FOXLAKE DR NORTH FORT MYERS, FL- 33917","$69,848.18","$94,881.00","$69,848.18",24-CA-003878,36-43-24-25-02000.00F0,https://lee.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24-CA-003878&bypassPage=1,https://pcpao.gov/Parcel-Details/36-43-24-25-02000.00F0
